job_id,user_id,arrival_time,start_time,finish_time,runtime,gpus,priority,flops
307,0,9833387.0,9833388.0,9833606.0,218.0,1,1.0,218000000000000.0
308,0,9833387.0,9833389.0,9833607.0,218.0,1,1.0,218000000000000.0
309,0,9833387.0,9833390.0,9833608.0,218.0,1,1.0,218000000000000.0
310,0,9833387.0,9833391.0,9833609.0,218.0,1,1.0,218000000000000.0
311,0,9833387.0,9833392.0,9833610.0,218.0,1,1.0,218000000000000.0
312,0,9833387.0,9833393.0,9833611.0,218.0,1,1.0,218000000000000.0
316,0,9833712.0,9833713.0,9833847.0,134.0,1,1.0,134000000000000.0
317,0,9833712.0,9833714.0,9833848.0,134.0,1,1.0,134000000000000.0
318,0,9833915.0,9833916.0,9834044.0,128.0,1,1.0,128000000000000.0
319,0,9833915.0,9833917.0,9834045.0,128.0,1,1.0,128000000000000.0
313,0,9833452.0,9833453.0,9834112.0,659.0,1,5.0,659000000000000.0
314,0,9833452.0,9833454.0,9834113.0,659.0,1,5.0,659000000000000.0
315,0,9833452.0,9833455.0,9834114.0,659.0,1,5.0,659000000000000.0
320,0,9835345.0,9835346.0,9835450.0,104.0,1,1.0,104000000000000.0
321,0,9836446.0,9836447.0,9836505.0,58.0,1,1.0,58000000000000.0
322,0,9836446.0,9836448.0,9836506.0,58.0,1,1.0,58000000000000.0
323,0,9836446.0,9836449.0,9836507.0,58.0,1,1.0,58000000000000.0
324,0,9836446.0,9836450.0,9836508.0,58.0,1,1.0,58000000000000.0
325,0,9836446.0,9836451.0,9836509.0,58.0,1,1.0,58000000000000.0
326,0,9839087.0,9839088.0,9839186.0,98.0,1,1.0,98000000000000.0
327,0,9839087.0,9839089.0,9839187.0,98.0,1,1.0,98000000000000.0
328,0,9839087.0,9839090.0,9839188.0,98.0,1,1.0,98000000000000.0
329,0,9839087.0,9839091.0,9839189.0,98.0,1,1.0,98000000000000.0
330,0,9839823.0,9839824.0,9839915.0,91.0,1,1.0,91000000000000.0
331,0,9839823.0,9839825.0,9839916.0,91.0,1,1.0,91000000000000.0
332,0,9840456.0,9840457.0,9842936.0,2479.0,1,1.0,2479000000000000.0
333,0,9840456.0,9840458.0,9842937.0,2479.0,1,1.0,2479000000000000.0
334,0,9840456.0,9840459.0,9842938.0,2479.0,1,1.0,2479000000000000.0
335,0,9842938.0,9842939.0,9843018.0,79.0,1,1.0,79000000000000.0
336,0,9845157.0,9845158.0,9845198.0,40.0,1,1.0,40000000000000.0
337,0,9845157.0,9845159.0,9845199.0,40.0,1,1.0,40000000000000.0
338,0,9845157.0,9845160.0,9845200.0,40.0,1,1.0,40000000000000.0
339,0,9845157.0,9845161.0,9845201.0,40.0,1,1.0,40000000000000.0
340,0,9845157.0,9845162.0,9845202.0,40.0,1,1.0,40000000000000.0
341,0,9845690.0,9845691.0,9845841.0,150.0,1,1.0,150000000000000.0
342,0,9845690.0,9845692.0,9845842.0,150.0,1,1.0,150000000000000.0
343,0,9845954.0,9845955.0,9846010.0,55.0,1,1.0,55000000000000.0
344,0,9846114.0,9846115.0,9846235.0,120.0,1,1.0,120000000000000.0
345,0,9846114.0,9846116.0,9846236.0,120.0,1,1.0,120000000000000.0
346,0,9846114.0,9846117.0,9846237.0,120.0,1,1.0,120000000000000.0
347,0,9846114.0,9846118.0,9846238.0,120.0,1,1.0,120000000000000.0
291,0,9787446.0,9787447.0,9846450.0,59003.0,1,1.0,5.9003e+16
